CARD,SUBBED OUT,SUBBED IN,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE: A book or series that received ten votes or less.,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE: Not written by Jeff VanderMeer or China Miéville.,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE: Three or more authors.,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE: Not based in Britain or Ireland.,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE: Characters are not originally from Earth. It is acceptable for the characters to be descendants of Earthlings as long as they are not themselves from Earth.,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE: Not on r/Fantasy’s Favorite Standalones List.,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE: A YA book with an anti-hero.,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE: Must read a current selection of either a book club or readalong and participate in the discussion.,SQUARE 9: TITLE,SQUARE 9: AUTHOR,"SQUARE 9: HARD MODE: Weapon has a unique name. Examples: Excalibur from Arthurian legend, Dragnipur in Malazan, Sting in Lord of the Rings, etc.",SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE: Revolution/Rebellion is the main focus of the plot.,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE: The title has the character’s first and last name. Example: The First Fifteen Lives of Harry August.,SQUARE 12: TITLE,SQUARE 12: AUTHOR,"SQUARE 12: HARD MODE: Initials are a pseudonym and not from the author’s actual name. Examples: T. Kingfisher or K. J. Parker. ADDENDUM: Please do not go snooping to see if a name fits. If it isn't clear based on an author's webpage or social media, assume that it is their real name.",SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE: It's also a debut novel--as in it's the author's first published novel.,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE: Book has an LGBTQ+ POV character.,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE: Author is of African heritage.,SQUARE 16: TITLE,SQUARE 16: AUTHOR,"SQUARE 16: HARD MODE: Non-humanoid protagonist. No elves, angels, dwarves, hobbits, or humanoid aliens.",SQUARE 17: TITLE,SQUARE 17: AUTHOR,"SQUARE 17: HARD MODE: No time travel. Book involves something off about time that’s not necessarily time travel. Example: In The Chronicles of Narnia, time moves at a different speed in Narnia than in the real world.",SQUARE 18: TITLE OF COLLECTION/ANTHOLOGY (go to 18A if you did 5 short stories),SQUARE 18: AUTHOR/EDITOR (go to 18A if you did 5 short stories),SQUARE 18: HARD MODE: Read an entire SFF anthology or collection.,SQUARE 18A: Title of Short Story #1 (Do not fill out if you read all of a collection/anthology),SQUARE 18A: Author of Short Story #1,SQUARE 18B: Title of Short Story #2 (Do not fill out if you read all of a collection/anthology),SQUARE 18B: Author of Short Story #2,SQUARE 18C: Title of Short Story #3 (Do not fill out if you read all of a collection/anthology),SQUARE 18C: Author of Short Story #3,SQUARE 18D: Title of Short Story #4 (Do not fill out if you read all of a collection/anthology),SQUARE 18D: Author of Short Story #4,SQUARE 18E: Title of Short Story #5 (Do not fill out if you read all of a collection/anthology),SQUARE 18E: Author of Short Story #5,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE: Not The Stormlight Archive or any books in the linked list.,SQUARE 20: TITLE,SQUARE 20: AUTHOR,"SQUARE 20: HARD MODE: Self-published and has fewer than 100 ratings on Goodreads, OR an indie publisher that has done an AMA with r/Fantasy.",SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE: Neither Hugo-nominated nor Nebula-nominate.,SQUARE 22: TITLE,SQUARE 22: AUTHOR,SQUARE 22: HARD MODE: A book written by an Indigenous author.,SQUARE 23: TITLE,SQUARE 23: AUTHOR,"SQUARE 23: HARD MODE: Most prominent shifter is not a wolf/dog shifter. For instance, werewolves can exist but can’t be the most notable shifter characters/main characters.",SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE: Title is three words or more.,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE: Features at least three generations in a single family.
590.0,,,The Cloud Roads,Martha Wells,Yes,The Kaiju Preservation Society,John Scalzi,Yes,Daughter of the Empire,"Raymond E. Feist, Janny Wurts",,The Adventures of Amina al-Sirafi,S.A. Chakraborty,Yes,Fortune's Pawn,Rachel Bach,Yes,Under the Whispering Door,T.J. Klune,Yes,Nona the Ninth,Tamsyn Muir,,Od Magic,Patricia A. McKillip,,Dreadgod,Will Wight,Yes,The Garden of Empire,J.T. Greathouse,Yes,Dungeon Crawler Carl,Matt Dinniman,,A Practical Guide to Conquering the World,K.J. Parker,Yes,The Lost Metal,Brandon Sanderson,,The Atlas Six,Olivie Blake,Yes,A Master of Djinn,P. Djèlí Clark,Yes,Watership Down,Richard Adams,Yes,The Spear Cuts Through Water,Simon Jimenez,Yes,Shades in Shadow,N.K. Jemisin,Yes,,,,,,,,,,,Blindsight,Peter Watts,Yes,Legends & Lattes,Travis Baldree,Yes,The Shadow of the Gods,John Gwynne,Yes,Babel,R.F. Kuang,,Who Goes There?,John W. Campbell,Yes,On Lavender Tides,Travis M. Riddle,Yes,The Golden Enclaves,Naomi Novik,Yes
591.0,,,The Tyrant,Seth Dickinson,,Ravencry,Ed McDonald,Yes,A Memory of Light,"Robert Jordan, Brandon Sanderson",,A Sacred Storm,Theodore Brun,Yes,Fugitive Telemetry,Martha Wells,Yes,Kraken,China Miéville,Yes,Before They Are Hanged,Joe Abercrombie,,The Thousand Names,Django Wexler,,The Blinding Knife,Brent Weeks,Yes,The Dragon Republic,R.F. Kuang,Yes,The Children of Húrin,J.R.R. Tolkien,,The Bone Ships,R.J. Barker,,A Practical Guide to Conquering the World,K.J. Parker,,This Book Is Full Of Spiders,David Wong,,Pyramids,Terry Pratchett,,The Witness for the Dead,Katherine Addison,,An Echo of Things to Come,James Islington,,The Complete Tales And Poems Of Edgar Allen Poe,Edgar Allen Poe,Yes,,,,,,,,,,,The Summer Tree,Guy Gavriel Kay,Yes,To Dream And Die As A Taniwha Girl,Benedict Patrick,,Valor,John Gwynne,,The Dark Forest,Cixin Liu,,The Gutter Prayer,Gareth Hanrahan,Yes,Snakewood,Adrian Selby,,Jade City,Fonda Lee,
592.0,,,Every Heart a Doorway,Seanan McGuire,,,,,,,,The League of Gentlewomen Witches,India Holton,,,,,The Splendid City,Karen Heuler,Yes,The Thief,Megan Whalen Turner,Yes,Half a Soul,Olivia Atwater,,The Ivory Tomb,Melissa Caruso,Yes,The Golden Enclaves,Naomi Novik,Yes,The Undertaking of Hart and Mercy,Megan Bannen,,Nettle & Bone,T. Kingfisher,Yes,This Vicious Grace,Emily Thiede,Yes,Kingdom of the Wicked,Kerri Maniscalco,,,,,A Prayer for the Crown-Shy,Becky Chambers,Yes,Finale,Stephanie Garber,,,,,,,,,,,,,,,A Mirror Mended,Alix E. Harrow,,The Bridge Kingdom,Danielle L. Jensen,,The Midnight Bargain,C.L. Polk,,,,,Gild,Raven Kennedy,Yes,Cursed,Marissa Meyer,,For the Throne,Hannah F. Whitten,
593.0,,,Carry On,Rainbow Rowell,Yes,The Flying Sorcerers,David Gerrold & Larry Niven,Yes,Warping Minds & Other Misdemeanors,Annette Marie & Rob Jacobsen,,The Undertakers,Nicole Glover,Yes,Revenger,Alastair Reynolds,Yes,The Light Years,R.W.W. Greene,Yes,Archenemies,Marissa Meyer,Yes,The Order of the Pure Moon Reflected in Water,Zen Cho,,Night of the Dragon,Julie Kagawa,Yes,Bonds of Brass,Emily Skrutskie,Yes,The Thousand Deaths of Ardor Benn,Tyler Whitesides,Yes,The Liar's Knot,M.A. Carrick,Yes,Legends & Lattes,Travis Baldree,Yes,Twisted Pretty Things,Ariana Nash,Yes,A Song of Wraiths and Ruin,Roseanne A. Brown,Yes,Call Me Dragon,Marc Secchia,Yes,Lightning Blade,D. N. Erikson,Yes,The Best of Connie Willis: Award-Winning Stories,Connie Willis,Yes,,,,,,,,,,,Magic for Liars,Sarah Gailey,Yes,Hunting Werewolves and Other Bad Dates,Kel Carpenter & Meg Anne,,Not Your Sidekick,C.B. Lee,Yes,Son of a Trickster,Eden Robinson,Yes,The Cloud Roads,Martha Wells,Yes,Jade Fire Gold,June C.L. Tan,Yes,The Golden Enclaves,Naomi Novik,Yes
594.0,,,Stone Mad,Elizabeth Bear,Yes,Notes from the Burning Age,Claire North,Yes,Seven Devils,Laura Lam and Elizabeth May,,Even Though I Knew the End,C.L. Polk,Yes,Shards of Earth,Adrian Tchaikovsky,Yes,The Bone Orchard,Sara A. Mueller,Yes,The Atlas Six,Olivie Blake,,The Undertaking of Hart and Mercy,Megan Bannen,,The Winter Knight,Jes Battis,,The Oleander Sword,Tasha Suri,,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,Yes,Saint Death's Daughter,C.S.E. Cooney,,All The White Spaces,Ally Wilkes,Yes,The Conductors,Nicole Glover,,Raybearer,Jordan Ifueko,Yes,Legends & Lattes,Travis Baldree,,The Outside,Ada Hoffmann,,,,,Electric Waterfall,Ruth Joffre,Bonesoup,Eugenia Triantafyllou,Dinner with Jupiter,Clare Diston,12 Things a Trini Should Know Before Travelling to a Back in Times Fete™,R.S.A. Garcia,"Silver Necklace, Golden Ring",Marie Brennan,The Spare Man,Mary Robinette Kowal,Yes,Longshadow,Olivia Atwater,,A Desolation Called Peace,Arkady Martine,,The Inheritance of Orquídea Divina,Zoraida Córdova,,Wolfsong,T.J. Klune,,Ninth House,Leigh Bardugo,,The Book Eaters,Sunyi Dean,
595.0,Two or More Authors,Gothic Fantasy 2022,Nona the Ninth,Tamsyn Muir,,The Luminous Dead,Caitlin Starling,Yes,Leech,Hiron Ennes,,A Marvellous Light,Freya Marske,,Braking Day,Adam Oyebanji,Yes,The Girl Who Drank the Moon,Kelly Barnhill,Yes,Hench,Natalie Zina Walschots,,Howl's Moving Castle,Diana Wynne Jones,,Spear,Nicola Griffith,Yes,Daughter of the Moon Goddess,Sue Lynn Tan,,The Queer Principles of Kit Webb,Cat Sebastian,Yes,Flight of Magpies,K.J. Charles,,Mexican Gothic,Silvia Moreno-Garcia,,A Night in the Lonesome October,Roger Zelazny,,Redemption in Indigo,Karen Lord,,The Cybernetic Tea Shop,Meredith Katz,,The Vanished Birds,Simon Jimenez,Yes,Uncanny Magazine 22,Lynne M. Thomas & Michael Damian Thomas,Yes,,,,,,,,,,,Unraveller,Frances Hardinge,Yes,A Dowry of Blood,S.T. Gibson,,A Psalm for the Wild-Built,Becky Chambers,,Fevered Star,Rebecca Roanhorse,Yes,Paladin's Strength,T. Kingfisher,Yes,Ryka Aoki,Ryka Aoki,Yes,Thistlefoot,GennaRose Nethercott,Yes
596.0,,,Come Tumbling Down,Seanan McGuire,,Annihilation,Jeff VanderMeer,,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,The Conductors,Nicole Glover,Yes,The Spare Man,Mary Robinette Kowal,,A Master of Djinn,P. Djèlí Clark,Yes,A Deadly Education,Naomi Novik,,Kaikeyi,Vaishnavi Patel,,The Hobbit,J.R.R. Tolkien,,Son of the Storm,Suyi Davies Okungbowa,,Amari and the Night Brothers,B.B. Alston,,The World We Make,N.K. Jemisin,,The Monsters We Defy,Leslye Penelope,,Certain Dark Things,Silvia Moreno-Garcia,,Rosewater,Tade Thompson,Yes,Ship of Destiny,Robin Hobb,Yes,Arcade and Triple T Token,Rashad Jennings,,Exhalation,Ted Chiang,Yes,,,,,,,,,,,Beasts of Ruin,Ayana Gray,,The Gatekeeper's Stuff,Antoine Bandele,,Piranesi,Susanna Clarke,,The Poppy War,R.F. Kuang,,The Hero of Ages,Brandon Sanderson,,Black Sun,Rebecca Roanhorse,,Parable of the Talents,Octavia E. Butler,
597.0,,,The Song of Achilles,Madeline Miller,,The Bone Shard Daughter,Andrea Stewart,Yes,Leviathan Wakes,James S.A. Corey,,She Who Became the Sun,Shelley Parker-Chan,Yes,Velocity Weapon,Megan E. O'Keefe,,Into the Drowning Deep,Mira Grant,,Trail of Lightning,Rebecca Roanhorse,,Daughter of the Moon Goddess,Sue Lynn Tan,,Ashes of the Sun,Django Wexler,,The Jasmine Throne,Tasha Suri,,The Ballad of Black Tom,Victor LaValle,,Subtle Blood,K.J. Charles,,All That's Left in the World,Erik J. Brown,,Rosemary and Rue,Seanan McGuire,,Son of the Storm,Suyi Davies Okungbowa,Yes,The Grief of Stones,Katherine Addison,,The Blacktongue Thief,Christopher Buehlman,,,,,The Backbone of the World,Stephen Graham Jones,The Six Deaths of the Saint,Alix E. Harrow,What the Dead Know,Nghi Vo,Undercover,Tamsyn Muir,"Out of the Mirror, Darkness",Garth Nix,Elder Race,Adrian Tchaikovsky,,Sufficiently Advanced Magic,Andrew Rowe,,Beneath the Rising,Premee Mohamed,,The Cat Who Saved Books,Sōsuke Natsukawa,,Little Thieves,Margaret Owen,Yes,Bunny,Mona Awad,,The Obsidian Tower,Melissa Caruso,
598.0,,,Silver in the Wood,Emily Tesh,Yes,The Kaiju Preservation Society,John Scalzi,Yes,Love After the End: An Anthology of Two-Spirit and Indigiqueer Speculative Fiction,"Darcie Little Badger, Mari Kurisato, Kai Minosh Pyle, David Alexander Robertson, and jaye simpson ect.",Yes,The Undertakers,Nicole Glover,Yes,Outback Stars,Sandra McDonald,Yes,Race the Sands,Sarah Beth Durst,Yes,Six of Crows,Leigh Bardugo,Yes,Magic for Liars,Sarah Gailey,Yes,Malleus,Dan Abnett,Yes,A Declaration of the Rights of Magicians,H.G. Parry,Yes,The 22 Murders of Madison May,Max Barry,Yes,Nettle & Bone,T. Kingfisher,Yes,Kaikeyi,Vaishnavi Patel,Yes,The City We Became,N.K. Jemisin,Yes,A Master of Djinn,P. Djèlí Clark,Yes,The Book of Night with Moon,Diane Duane,Yes,The Paradox Hotel,Rob Hart,Yes,Invisible Planets,Ken Liu,Yes,,,,,,,,,,,His Secret Illuminations,Scarlett Gale,Yes,A Magical Inheritance,Krista D. Ball,Yes,The Ghost Bride,Yangsze Choo,Yes,Trail of Lightning,Rebecca Roanhorse,Yes,The Invasion,K.A. Applegate,Yes,Project Hail Mary,Andy Weir,Yes,Spelunking Through Hell,Seanan McGuire,Yes
599.0,Self-Published,Mystery 2021,A Memory Called Empire,Arkady Martine,,The Past is Red,Catherynne M. Valente,Yes,Leviathan Wakes,James S.A. Corey,,Blitz,Thomas O'Malley,,Iron Gold,Pierce Brown,Yes,The Forever War,Joe Haldeman,Yes,She Who Became the Sun,Shelley Parker-Chan,,Fireheart Tiger,Aliette de Bodard,Yes,The Shadow Rising,Robert Jordan,Yes,A Plague of Giants,Kevin Hearne,,Tress of the Emerald Sea,Brandon Sanderson,,A Spindle Splintered,Alix E. Harrow,,The Spare Man,Mary Robinette Kowal,,The Golden Enclaves,Naomi Novik,Yes,A Master of Djinn,P. Djèlí Clark,Yes,Children of Time,Adrian Tchaikovsky,Yes,Hyperion,Dan Simmons,Yes,,,,Proof by Induction,José Pablo Iriarte,The Sin of America,Catherynne M. Valente,Unknown Number,Blue Neustifter,Where Oaken Hearts Do Gather,Sarah Pinsker,Mr. Death,Alix E. Harrow,Across the Green Grass Fields,Seanan McGuire,Yes,Seeing a Large Cat,Elizabeth PEters,,To the Bright Edge of the World,Eowyn Ivey,Yes,A Snake Falls to Earth,Darcie Little Badger,,She who rides the storm,Caitlin Sangster,Yes,World War Z,Max Brooks,Yes,BLuescreen,Dan Wells,Yes
600.0,,,The Watchmaker of Filigree Street,Natasha Pulley,Yes,The Bone Ships,R.J. Barker,Yes,Caliban's War,James S.A. Corey,,Harbinger of the Storm,Aliette de Bodard,Yes,A Desolation Called Peace,Arkady Martine,Yes,Game Slaves,Gard Skinner,Yes,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,,Bridge of Birds,Barry Hughart,,The Fellowship of the Ring,J.R.R. Tolkien,Yes,Boxers & Saints,Gene Luen Yang,Yes,Ivivin,J. Nick Fisk,,The Girl With No Face,M.H. Boroson,,Until the Last of Me,Sylvain Neuvel,,Moonheart,Charles de Lint,,2084: La fin du monde,Boualem Sansal,Yes,The Far Side of Evil,Sylvia Engdahl,,The Urth of the New Sun,Gene Wolfe,,Evil is a Matter of Perspective,"Adrian Collins, Mike Myers",Yes,,,,,,,,,,,Come Tumbling Down,Seanan McGuire,,Origins,Kyle West,,City of Blades,Robert Jackson Bennett,Yes,Future Home of the Living God,Louise Erdrich,Yes,The Devourers,Indra Das,,"Sex, Marry, Kill",Todd Travis,Yes,Forward the Foundation,Isaac Asimov,Yes
601.0,,,Inda,Sherwood Smith,Yes,The Dawnhounds,Sascha Stronach,Yes,The Grace of Sorcerers,Maria Ying,,Wrath Goddess Sing,Maya Deane,Yes,The Spare Man,Mary Robinette Kowal,,The Women Could Fly,Megan Giddings,Yes,Pennyblade,J.L. Worrad,,Spear,Nicola Griffith,,Daughter of Redwinter,Ed McDonald,,The Oleander Sword,Tasha Suri,Yes,Nona the Ninth,Tamsyn Muir,,Saint Death's Daughter,C.S.E. Cooney,,At the Feet of the Sun,Victoria Goddard,,The Hourglass Throne,K.D. Edwards,Yes,The Lies of the Ajungo,Moses Ose Utomi,Yes,The Grief of Stones,Katherine Addison,,The Spear Cuts Through Water,Simon Jimenez,Yes,These Imperfect Reflections,Merc Fenn Wolfmoor,Yes,,,,,,,,,,,A Taste of Gold and Iron,Alexandra Rowland,Yes,Ansible: A Thousand Faces,Stant Litore,Yes,Winter's Orbit,Everina Maxwell,Yes,Darknesses,Lachelle Seville,,When Women Were Dragons,Kelly Barnhill,Yes,Moon Dark Smile,Tessa Gratton,Yes,In the Heart of Hidden Things,Kit Whitfield,Yes
602.0,,,Captive Prince,C.S. Pacat,Yes,The Border Keeper,Kerstin Hall,Yes,Invisibility,Andrea Cremer and David Levithan,,A Marvellous Light,Freya Marske,,"The Long Way to a Small, Angry Planet",Becky Chambers,Yes,The Starless Sea,Erin Morgenstern,Yes,Vicious,V.E. Schwab,,All the Murmuring Bones,A.G. Slatter,,The Iron Dragon's Daughter,Michael Swanwick,Yes,Iron Widow,Xiran Jay Zhao,Yes,Johannes Cabal the Necromancer,Jonathan L. Howard,Yes,Nettle & Bone,T. Kingfisher,Yes,Blitz,Daniel O'Malley,,Carry On,Rainbow Rowell,Yes,A Master of Djinn,P. Djèlí Clark,Yes,The Keeper of Night,Kylie Lee Baker,,Middlegame,Seanan McGuire,Yes,The Ladies of Grace Adieu and Other Stories,Susanna Clarke,Yes,,,,,,,,,,,Timekeeper,Tara Sim,Yes,Saturnalia,Stephanie Feldman,,The Bone Houses,Emily Lloyd-Jones,Yes,The Girl Who Fell Beneath the Sea,Axie Oh,,Book of Night,Holly Black,Yes,Certain Dark Things,Silvia Moreno-Garcia,Yes,Reckless,Cornelia Funke,
603.0,Set In Space,Novel Set in a University 2020,The Drowning Girl,Caitlín R. Kiernan,Yes,The Book of Koli,M.R. Carey,Yes,Classic Monsters Unleashed,James Aquilone,Yes,The Hunger,Alma Katsu,Yes,Babel,R.F. Kuang,Yes,Fairy Tale,Stephen King,Yes,Not Even Bones,Rebecca Schaeffer,Yes,The Wolf and the She-Bear,Morgan Stang,Yes,Elric: Stealer of Souls,Michael Moorcock,Yes,Red Moon,Benjamin Percy,Yes,The Dark Descent of Elizabeth Frankenstein,Kiersten White,Yes,The Hollow Places,T. Kingfisher,Yes,My Darkest Dearest,Kayla Cottingham,Yes,Siren Queen,Nghi Vo,Yes,A Master of Djinn,P. Djèlí Clark,Yes,Thor,Wayne Smith,Yes,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",Yes,Howls from Hell,HOWL Society,Yes,,,,,,,,,,,A Lesson in Vengeance,Victoria Lee,Yes,Flame and Crimson,Brian Murphy,Yes,The Winter People,Jennifer McMahon,Yes,Don't Fear the Reaper,Stephen Graham Jones,Yes,The Necromancer's House,Christopher Buehlman,Yes,World War Z,Max Brooks,Yes,What Big Teeth,Rose Szabo,Yes
604.0,,,"To Be Taught, If Fortunate",Becky Chambers,Yes,Tress of the Emerald Sea,Brandon Sanderson,Yes,Eternal Lover,"Lynsay Sands, Richelle Mead, Hannah Howell, Saranna Dewylde",Yes,Between Two Fires,Christopher Buehlman,Yes,The Genesis of Misery,Neon Yang,Yes,Babel,R.F. Kuang,Yes,Our Violent Ends,Chloe Gong,Yes,Kaikeyi,Vaishnavi Patel,Yes,"Song of Silver, Flame Like Night",Amelié Wen Zhao,Yes,The Traitor Baru Cormorant,Seth Dickinson,Yes,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,Yes,Nettle & Bone,T. Kingfisher,Yes,Our Wives Under the Sea,Julia Armfield,Yes,Jade City,Fonda Lee,Yes,The Rage of Dragons,Evan Winter,Yes,Hollow Kingdom,Kira Jane Buxton,Yes,The Space Between Worlds,Micaiah Johnson,Yes,Stories of Your Life and Others,Ted Chiang,Yes,,,,,,,,,,,How High We Go in the Dark,Sequoia Nagamatsu,Yes,At the Break of Dawn,Ellinor Pailing,Yes,This Thing Between Us,Gus Moreno,Yes,Moon of the Crusted Snow,Waubgeshig Rice,Yes,"Black Leopard, Red Wolf",Marlon James,Yes,Cloud Cuckoo Land,Anthony Doerr,Yes,The Sword of Kaigen,M.L. Wang,Yes
605.0,,,The Priory of the Orange Tree,Samantha Shannon,,Roadside Picnic,"Arkady Strugatsky, Boris Strugatsky",Yes,The Outstretched Shadow,Mercedes Lackey and James Mallory,,The Bear and the Nightingale,Katherine Arden,Yes,Exit Strategy: The Murderbot Diaries,Martha Wells,Yes,Sorcerer's Legacy,Janny Wurts,Yes,The Pariah,Anthony Ryan,,The Blacktongue Thief,Christopher Buehlman,,Legend,David Gemmell,Yes,The Justice of Kings,Richard Swan,,Senlin Ascends,Josiah Bancroft,,The Hobbit,J.R.R. Tolkien,,The Golden Enclaves,Naomi Novik,,The Gutter Prayer,Gareth Hanrahan,,The City of Brass,S.A. Chakraborty,,The Witness for the Dead,Katherine Addison,,Flesh and Spirit,Carol Berg,Yes,The Inheritance,Robin Hobb,Yes,,,,,,,,,,,Divided Allegiance,Elizabeth Moon,Yes,Legends & Lattes,Travis Baldree,,Last Argument of Kings,Joe Abercrombie,,Babel,R.F. Kuang,,Deadhouse Gates,Steven Erikson,Yes,Dragonsbane,Barbara Hambly,,Dark Earth,Rebecca Stott,
606.0,,,Bloody Rose,Nicholas Eames,Yes,Shadow and Claw,Gene Wolfe,Yes,Cibola Burn,James S.A. Corey,,Age of Myth,Michael J. Sullivan,Yes,Falling Free,Lois McMaster Bujold,,,,,A Little Hatred,Joe Abercrombie,,,,,,,,,,,,,,,,,Dreadgod,Will Wight,,,,,,,,,,,,,,,,,,,,,,,,,,,The Slow Regard of Silent Things,Patrick Rothfuss,,,,,,,,The Stone Sky,N.K. Jemisin,,,,,,,,Brothers of the Wind,Tad Williams,
607.0,,,A Memory Called Empire,Arkady Martine,,Senlin Ascends,Josiah Bancroft,Yes,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",,Babel,R.F. Kuang,,The Hitchhiker's Guide to the Galaxy,Douglas Adams,,The Invisible Life of Addie LaRue,V.E. Schwab,,Nona the Ninth,Tamsyn Muir,,"The Long Way to a Small, Angry Planet",Becky Chambers,,The Memory of Souls,Jenn Lyons,,Rise of Empire,Michael J. Sullivan,,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,,The Once and Future King,T.H. White,,The Lost Metal,Brandon Sanderson,,Magic for Liars,Sarah Gailey,,A Master of Djinn,P. Djèlí Clark,,All Systems Red,Martha Wells,,Flashpoint,Geoff Johns,,,,,Persephone,Lev Grossman,Undercover,Tamsyn Muir,The Garden,Tomi Champion-Adeyemi,What the Dead Know,Nghi Vo,The Candles are Burning,Veronica G. Henry,"Tales from the Gas Station, Volume 1",Jack Townsend,,Dreadgod,Will Wight,,Wrath,John Gwynne,,Storm of Locusts,Rebecca Roanhorse,,Inheritance,Christopher Paolini,,American Elsewhere,Robert Jackson Bennett,,Bloody Rose,Nicholas Eames,
608.0,,,Any Way the Wind Blows,Rainbow Rowell,Yes,The Well of Ascension,Brandon Sanderson,Yes,The Liar's Knot,M.A. Carrick,,The Undertakers,Nicole Glover,Yes,Children of Ruin,Adrian Tchaikovsky,Yes,Domnall and the Borrowed Child,Sylvia Spruck Wrigley,Yes,Dark Rise,C.S. Pacat,Yes,God of Gnomes,Demi Harper,,Daughter of the Moon Goddess,Sue Lynn Tan,Yes,The Second Rebel,Linden A. Lewis,Yes,Bitter,Akwaeke Emezi,,Homeland,R.A. Salvatore,,A Strange and Stubborn Endurance,Foz Meadows,,Trailer Park Trickster,David R. Slayton,Yes,A Dead Djinn in Cairo,P. Djèlí Clark,Yes,Feral Creatures,Kira Jane Buxton,Yes,The Atlas Six,Olivie Blake,,Wolfsbane and Mistletoe,"Charlaine Harris, Toni L.P. Kelner",Yes,,,,,,,,,,,A Taste of Gold and Iron,Alexandra Rowland,Yes,The Court of Mortals,A.J. Lancaster,,Bird Box,Josh Malerman,Yes,Lagoon,Nnedi Okorafor,,Aurora's Angel,Emily Noon,Yes,"Girl, Serpent, Thorn",Melissa Bashardoust,Yes,Fruits Basket,Natsuki Takaya,Yes
609.0,,,Kushiel's Dart,Jacqueline Carey,,,,,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,,,,Mission of Honor,David Weber,Yes,Coraline,Neil Gaiman,Yes,Six of Crows,Leigh Bardugo,Yes,Legends & Lattes,Travis Baldree,,Gardens of the Moon,Steven Erikson,Yes,Woven in Moonlight,Isabel Ibañez,Yes,Mort,Terry Pratchett,,A Wizard's Guide to Defensive Baking,T. Kingfisher,Yes,The Golden Enclaves,Naomi Novik,,When Women Were Dragons,Kelly Barnhill,,Binti,Nnedi Okorafor,Yes,,,,Mister Monday,Garth Nix,Yes,Johnny Mnemonic and other Stories,William Gibson,Yes,,,,,,,,,,,,,,,,,Casket of Souls,Lynn Flewelling,,,,,My Lady Quicksilver,Bec McMaster,,Howl's Moving Castle,Diana Wynne Jones,Yes,,,
610.0,Self-Published,To-read list,"To Be Taught, If Fortunate",Becky Chambers,,Children of Dune,Frank Herbert,Yes,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,Go tell the bees that I have gone,Diana Gabaldon,Yes,Project Hail Mary,Andy Weir,,Slaughterhouse-Five,Kurt Vonnegut,,Vicious,V.E. Schwab,,Jade City,Fonda Lee,,The Lost Metal,Brandon Sanderson,Yes,The Three-Body Problem,Cixin Liu,,Harrow the Ninth,Tamsyn Muir,,Blood Truth,J.R. Ward,,The Golden Enclaves,Naomi Novik,,Risen,Benedict Jacka,,The Rage of Dragons,Evan Winter,,Artificial Condition,Martha Wells,,The Psychology of Time Travel,Kate Mascarenhas,,Urban Enemies,Jim Butcher,Yes,,,,,,,,,,,Do Androids Dream of Electric Sheep?,Philip K. Dick,Yes,Magician: Apprentice,Raymond E. Feist,,The Ten Thousand Doors of January,Alix E. Harrow,,The Poppy War,R.F. Kuang,,Hunting Ground,Patricia Briggs,,Circe,Madeline Miller,,In the Shadow of Lightning,Brian McClellan,
