,gender,ethnicity,queer,nationality
Neal Asher,Man,White,False,Unknown
Hitoshi Ashinano,Unknown,Unknown,,Unknown
Kemi Ashing-Giwa,Unknown,Unknown,,Unknown
Mike Ashley,Unknown,Unknown,,Unknown
J.P. Ashman,Unknown,Unknown,,Unknown
Lucia Ashta,Woman,Hispanic,False,Unknown
Brodi Ashton,Unknown,Unknown,,Unknown
Dyrk Ashton,Man,White,False,Unknown
Edward Ashton,Unknown,Unknown,,Unknown
Davis Ashura,Man,Asian,False,Unknown
R.K. Ashwick,Unknown,Unknown,,Unknown
Sharon Ashwood,Unknown,Unknown,,Unknown
A.K. Asif,Unknown,Unknown,,Unknown
Isaac Asimov,Man,White,False,Unknown
Darren Askins,Unknown,Unknown,,Unknown
Austin Aslan,Man,White,False,Unknown
Brian Asman,Unknown,Unknown,,Unknown
Asmodeus,Unknown,Unknown,,Unknown
Robert Asprin,Man,White,False,Unknown
Iasmin Omar Ata,Unknown,Unknown,,Unknown
Afia Atakora,Woman,Black,False,Unknown
K. Aten,Woman,White,True,Unknown
Dani Atkinson,Unknown,Unknown,,Unknown
Kate Atkinson,Unknown,Unknown,,Unknown
Odafe Atogun,Unknown,Unknown,,Unknown
Tar Atore,Unknown,Unknown,,Unknown
S.Z. Attwell,Unknown,Unknown,,Unknown
Nicholas Atwater,Unknown,Unknown,,Unknown
Olivia Atwater,Woman,White,False,Unknown
Amelia Atwater-Rhodes,Unknown,Unknown,,Unknown
Margaret Atwood,Woman,White,False,Unknown
Olivia Atwood,Unknown,Unknown,,Unknown
Jean M. Auel,Unknown,Unknown,,Unknown
Jon Auerbach,Man,White,False,Unknown
John August,Unknown,Unknown,,Unknown
Rory August,Unknown,Unknown,,Unknown
Rachel Aukes,Unknown,Unknown,,Unknown
Amanda Auler,Unknown,Unknown,,Unknown
Samara Auman,Unknown,Unknown,,Unknown
Jane Austen,Unknown,Unknown,,Unknown
Graham Austin-King,Man,White,False,Unknown
Ramona Ausubel,Unknown,Unknown,,Unknown
Various Authors,Unknown,Unknown,,Unknown
Jonathan Auxier,Unknown,Unknown,,Unknown
Sophie Avdyukhina,Unknown,Unknown,,Unknown
Victoria Aveline,Woman,White,False,Unknown
Fiona Avery,Unknown,Unknown,,Unknown
Victoria Aveyard,Woman,White,False,Unknown
Mona Awad,Woman,White,False,Unknown
Vita Ayala,Unknown,Unknown,,Unknown
Yukito Ayatsuji,Man,Asian,False,Unknown
Steve Aylett,Unknown,Unknown,,Unknown
Nafiza Azad,Unknown,Unknown,,Unknown
Shokoofeh Azar,Unknown,Unknown,,Unknown
Ibtisam Azem,Unknown,Unknown,,Unknown
Basma Abdel Aziz,Woman,Asian,False,Unknown
Shay K. Azoulay,Man,White,False,Unknown
BO,Unknown,Unknown,,Unknown
Okina Baba,Unknown,Unknown,,Unknown
Bolu Babalola,Unknown,Unknown,,Unknown
Rachel Bach,Unknown,Unknown,,Unknown
Travis Bach,Unknown,Unknown,,Unknown
Stefan Bachmann,Man,White,False,Unknown
Paolo Bacigalupi,Man,White,False,Unknown
Eugen Bacon,Unknown,Unknown,,Unknown
Darcie Little Badger,Woman,Native,False,Unknown
Julianna Baggott,Unknown,Unknown,,Unknown
Travis Bagwell,Man,White,False,Unknown
Jeremy Bai,Man,Asian,False,Unknown
Yan Baibai,Woman,Asian,False,Unknown
Dale Bailey,Unknown,Unknown,,Unknown
J.S. Bailey,Unknown,Unknown,,Unknown
Michael C. Bailey,Unknown,Unknown,,Unknown
David Baillie,Unknown,Unknown,,Unknown
Chris Bain,Unknown,Unknown,,Unknown
L.S. Baird,Unknown,Unknown,,Unknown
Khadija Abdalla Bajaber,Unknown,Unknown,,Unknown
Antonín Bajaja,Unknown,Unknown,,Unknown
A. Deborah Baker,Woman,White,True,United States
Celeste Rita Baker,Unknown,Unknown,,Unknown
Kage Baker,Woman,White,False,Unknown
Kylie Lee Baker,Woman,Asian,False,Unknown
L.-J. Baker,Unknown,Unknown,,Unknown
Mishell Baker,Woman,White,False,Unknown
Richard Baker,Unknown,Unknown,,Unknown
Stewart C. Baker,Unknown,Unknown,,Unknown
Catherine Bakewell,Unknown,Unknown,,Unknown
Nyri A. Bakkalian,Woman,White,True,Unknown
R. Scott Bakker,Man,White,False,Unknown
R.S. Bakker,Unknown,Unknown,,Unknown
Robert T. Bakker,Unknown,Unknown,,Unknown
Brian Bakos,Man,White,False,Unknown
T.E. Bakutis,Unknown,Unknown,,Unknown
Bo Balder,Unknown,Unknown,,Unknown
Travis Baldree,Man,White,True,Unknown
Don Mark Baldrige,Unknown,Unknown,,Unknown
Joaquin Baldwin,Unknown,Unknown,,Unknown
Travis Baldwin,Unknown,Unknown,,Unknown
Cherith Baldy,Unknown,Unknown,,Unknown
Beth Ball,Woman,White,False,Unknown
David W. Ball,Unknown,Unknown,,Unknown
Krista D. Ball,Woman,White,False,Unknown
L.M. Ball,Unknown,Unknown,,Unknown
Tony Ballantyne,Unknown,Unknown,,Unknown
J.G. Ballard,Man,White,False,Unknown
Solvej Balle,Unknown,Unknown,,Unknown
Robbie Ballew,Unknown,Unknown,,Unknown
Nathan Ballingrud,Unknown,Unknown,,Unknown
Enid Balám,Unknown,Unknown,,Unknown
Lu Ban,Unknown,Unknown,,Unknown
Danielle Banas,Unknown,Unknown,,Unknown
Josiah Bancroft,Man,White,False,Unknown
Antoine Bandele,Unknown,Unknown,,Unknown
Bibhutibhushan Bandyopadhyay,Unknown,Unknown,,Unknown
K.N. Banet,Woman,White,False,Unknown
Kristen Banet,Unknown,Unknown,,Unknown
Elly Bangs,Woman,White,True,Unknown
Askok K. Banker,Unknown,Unknown,,Unknown
Felicity Banks,Unknown,Unknown,,Unknown
Iain M. Banks,Man,White,False,Unknown
L.A. Banks,Woman,Black,False,Unknown
Megan Bannen,Unknown,Unknown,,Unknown
Ayanna Lloyd Banwo,Unknown,Unknown,,Unknown
Baoshu,Unknown,Unknown,,Unknown
Rebecca Bapaye,Woman,White,False,Unknown
Tracey Baptiste,Unknown,Unknown,,Unknown
Henry Barajas,Man,Hispanic,False,Unknown
A.J. Barber,Unknown,Unknown,,Unknown
Kara Barbieri,Unknown,Unknown,,Unknown
Francesca T. Barbini,Unknown,Unknown,,Unknown
Elia Barcelo,Woman,White,False,Unknown
Leigh Bardugo,Woman,White,False,Unknown
Rachel Barenbaum,Unknown,Unknown,,Unknown
Shaun Barger,Unknown,Unknown,,Unknown
Sabine Baring-Gould,Unknown,Unknown,,Unknown
Nicolette Barischoff,Unknown,Unknown,,Unknown
Clive Barker,Man,White,False,Unknown
Emily Croy Barker,Unknown,Unknown,,Unknown
J.D. Barker,Unknown,Unknown,,Unknown
K.J. Barker,Unknown,Unknown,,Unknown
Pat Barker,Woman,White,True,Unknown
R.J. Barker,Man,White,False,Unknown
Toby Barlow,Unknown,Unknown,,Unknown
Wayne Barlowe,Man,White,False,Unknown
Megan Barnard,Unknown,Unknown,,Unknown
Caroline Barnard-Smith,Unknown,Unknown,,Unknown
Adrian Barnes,Man,White,False,Unknown
Colin F. Barnes,Unknown,Unknown,,Unknown
John Barnes,Unknown,Unknown,,Unknown
Jonathan Barnes,Unknown,Unknown,,Unknown
S.A. Barnes,Unknown,Unknown,,Unknown
Steven Barnes,Man,Black,False,Unknown
Beston Barnett,Unknown,Unknown,,Unknown
Daniel Barnett,Unknown,Unknown,,Unknown
Fiona Barnett,Unknown,Unknown,,Unknown
Lisa A. Barnett,Unknown,Unknown,,Unknown
Kelly Barnhill,Woman,White,False,Unknown
Julian Barona,Unknown,Unknown,,Unknown
Bendi Barrett,Unknown,Unknown,,Unknown
Redfern Jon Barrett,Unknown,Unknown,,Unknown
J.M. Barrie,Man,White,False,Unknown
Laird Barron,Man,White,False,Unknown
Natania Barron,Unknown,Unknown,,Unknown
Rena Barron,Woman,Black,False,Unknown
T.A. Barron,Unknown,Unknown,,Unknown
Dave Barry,Unknown,Unknown,,Unknown
Max Barry,Man,White,False,Unknown
Quan Barry,Woman,Asian,False,Unknown
Yaroslav Barsukov,Man,White,False,Unknown
Claire Eliza Bartlett,Unknown,Unknown,,Unknown
Jim di Bartolo,Unknown,Unknown,,Unknown
Melissa Bashardoust,Woman,Asian,False,Unknown
A.J. Bass,Unknown,Unknown,,Unknown
B.K. Bass,Unknown,Unknown,,Unknown
Elizabeth Bass,Unknown,Unknown,,Unknown
Samit Basu,Man,Asian,False,Unknown
Dale E. Basye,Unknown,Unknown,,Unknown
Allan Batchelder,Unknown,Unknown,,Unknown
Callie Bates,Unknown,Unknown,,Unknown
Wayne Thomas Batson,Unknown,Unknown,,Unknown
Jes Battis,Unknown,Unknown,,Unknown
Brianne Battye,Woman,White,False,Unknown
Gael Baudino,Woman,White,False,Unknown
Laura VanArendonk Baugh,Woman,White,False,Unknown
L. Frank Baum,Unknown,Unknown,,Unknown
Maxwell Bauman,Man,White,True,Unknown
Cate Baumer,Unknown,Unknown,,Unknown
T.M. Baumgartner,Unknown,Unknown,,Unknown
Martin Bax,Unknown,Unknown,,Unknown
Alan Baxter,Unknown,Unknown,,Unknown
Jason Baxter,Unknown,Unknown,,Unknown
Stephen Baxter,Man,White,False,Unknown
Margery Bayne,Unknown,Unknown,,Unknown
Kalynn Bayron,Woman,Black,True,Unknown
Agustina Bazterrica,Woman,Hispanic,False,Unknown
A.K.M. Beach,Unknown,White,False,Unknown
Peter S. Beagle,Man,White,False,Unknown
Elizabeth Bear,Woman,White,True,Unknown
Erik Bear,Unknown,Unknown,,Unknown
Greg Bear,Man,White,False,Unknown
Lauren J.A. Bear,Unknown,Unknown,,Unknown
Steve Beard,Unknown,Unknown,,Unknown
Jill Bearup,Unknown,Unknown,,Unknown
E.J. Beaton,Woman,White,False,Unknown
Erin Beaty,Unknown,Unknown,,Unknown
Bradley P. Beaulieu,Man,White,False,Unknown
Ned Beauman,Unknown,Unknown,,Unknown
Elle Beaumont,Unknown,Unknown,,Unknown
Ken Bebelle,Unknown,Unknown,,Unknown
Peter Bebergal,Unknown,Unknown,,Unknown
Hazel Beck,Unknown,Unknown,,Unknown
Sam Beckbessinger,Unknown,Unknown,,Unknown
Elayne Audrey Becker,Woman,White,False,Unknown
Tom Beckerlegge,Man,White,False,Unknown
Chris Beckett,Man,White,False,Unknown
Galen Beckett,Unknown,Unknown,,Unknown
L.X. Beckett,Nonbinary,White,True,Unknown
Jeannette Bedard,Woman,White,False,Unknown
Jacey Bedford,Woman,White,False,Unknown
Tobias Begley,Unknown,Unknown,,Unknown
Chris Behrins,Unknown,Unknown,,Unknown
Steve Bein,Unknown,Unknown,,Unknown
R.S. Belcher,Man,White,False,Unknown
Luke Belcourt,Man,White,False,Unknown
Aiden Bell,Unknown,Unknown,,Unknown
Alex Bell,Unknown,Unknown,,Unknown
Alexandra Bell,Unknown,Unknown,,Unknown
Alice Bell,Unknown,Unknown,,Unknown
Andrea L. Bell,Unknown,Unknown,,Unknown
Brad Bell,Unknown,Unknown,,Unknown
E.C. Bell,Woman,White,False,Unknown
Elvira Bell,Woman,White,False,Unknown
Hilari Bell,Woman,White,False,Unknown
Morgen K Bell,Unknown,Unknown,,Unknown
Jordie Bellaire,Unknown,Unknown,,Unknown
John Bellairs,Man,White,False,Unknown
Kaitlin Bellamy,Woman,White,False,Unknown
Stephan R. Bellem,Man,White,False,Unknown
Roger Bellini,Man,White,False,Unknown
Veronica Belmont,Woman,White,False,Unknown
K.T. Belt,Unknown,Unknown,,Unknown
Adam Bender,Unknown,Unknown,,Unknown
Aimee Bender,Unknown,Unknown,,Unknown
Brian Michael Bendis,Unknown,Unknown,,Unknown
Nora Bendzko,Woman,White,False,Unknown
David Benem,Unknown,Unknown,,Unknown
BenhaminKerei,Unknown,Unknown,,Unknown
Chloe Benjamin,Unknown,Unknown,,Unknown
M. Bennardo,Unknown,Unknown,,Unknown
Matthew Bennardo,Unknown,Unknown,,Unknown
M.N. Bennet,Unknown,Unknown,,Unknown
Ashley Bennett,Unknown,Unknown,,Unknown
Dani Bennett,Unknown,Unknown,,Unknown
Marguerite Bennett,Unknown,Unknown,,Unknown
Robert Jackson Bennett,Man,White,False,Unknown
William R. Bennett,Man,White,False,Unknown
Amber Benson,Unknown,Unknown,,Unknown
Jacquelyn Benson,Woman,White,False,Unknown
Michael Benson,Man,White,False,Unknown
Terry J. Benton-Walker,Unknown,Unknown,,Unknown
Derek Benz,Unknown,Unknown,,Unknown
Lisa Benz,Unknown,Unknown,,Unknown
Joe Benítez,Unknown,Unknown,,Unknown
Paul Beorn,Unknown,Unknown,,Unknown
J.D. Beresford,Unknown,Unknown,,Unknown
Carol Berg,Woman,White,False,Unknown
Laura van den Berg,Woman,White,False,Unknown
Ryan Bergara,Unknown,Unknown,,Unknown
Savinien de Cyrano de Bergerac,Man,White,False,Unknown
Anya Bergman,Unknown,Unknown,,Unknown
Emily Bergslien,Unknown,Unknown,,Unknown
Peter Bergting,Man,White,False,Unknown
Steve Berman,Unknown,Unknown,,Unknown
