CARD,NUMBER OF PREVIOUS YEARS,HERO MODE,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE,SQUARE 1: SUBSTITUTION,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE,SQUARE 2: SUBSTITUTION,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE,SQUARE 3: SUBSTITUTION,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE,SQUARE 4: SUBSTITUTION,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE,SQUARE 5: SUBSTITUTION,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE,SQUARE 6: SUBSTITUTION,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE,SQUARE 7: SUBSTITUTION,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE,SQUARE 8: SUBSTITUTION,SQUARE 9: TITLE,SQUARE 9: AUTHOR,SQUARE 9: HARD MODE,SQUARE 9: SUBSTITUTION,SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE,SQUARE 10: SUBSTITUTION,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE,SQUARE 11: SUBSTITUTION,SQUARE 12: TITLE,SQUARE 12: AUTHOR,SQUARE 12: HARD MODE,SQUARE 12: SUBSTITUTION,SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE,SQUARE 13: SUBSTITUTION,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE,SQUARE 14: SUBSTITUTION,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE,SQUARE 15: SUBSTITUTION,SQUARE 16: TITLE,SQUARE 16: AUTHOR,SQUARE 16: HARD MODE,SQUARE 16: SUBSTITUTION,SQUARE 17: TITLE,SQUARE 17: AUTHOR,SQUARE 17: HARD MODE,SQUARE 17: SUBSTITUTION,SQUARE 18: TITLE,SQUARE 18: AUTHOR,SQUARE 18: HARD MODE,SQUARE 18: SUBSTITUTION,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE,SQUARE 19: SUBSTITUTION,SQUARE 20: TITLE,SQUARE 20: AUTHOR,SQUARE 20: HARD MODE,SQUARE 20: SUBSTITUTION,SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE,SQUARE 21: SUBSTITUTION,SQUARE 22: TITLE OF COLLECTION,SQUARE 22: AUTHOR OF COLLECTION,SQUARE 22: HARD MODE,SQUARE 22: SUBSTITUTION,SQUARE 22A: SHORT STORY 1,SQUARE 22A: AUTHOR 1,SQUARE 22B: SHORT STORY 2,SQUARE 22B: AUTHOR 2,SQUARE 22C: SHORT STORY 3,SQUARE 22C: AUTHOR 3,SQUARE 22D: SHORT STORY 4,SQUARE 22D: AUTHOR 4,SQUARE 22E: SHORT STORY 5,SQUARE 22E: AUTHOR 5,SQUARE 23: TITLE,SQUARE 23: AUTHOR,SQUARE 23: HARD MODE,SQUARE 23: SUBSTITUTION,SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE,SQUARE 24: SUBSTITUTION,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE,SQUARE 25: SUBSTITUTION,FAVORITE SQUARE,UNFAVORITE SQUARE
762,4,Yes,Moonshine & Magic,"Falls, Bella",Yes,NA,The Dead Don't Drink at Lafitte's,"Kelly, Seana",Yes,NA,Dungeon Meshi (Delicious in Dungeon) Vol 3 & 4,"Kui, Ryoko",Yes,NA,A Tempest Of Tea,"Faizal, Hafsah",Yes,NA,The Poisons We Drink,"Baptiste, Bethany",Yes,NA,The Last Dragon Of The East,"Kwan, Katrina",Yes,NA,The Sea Of Trolls,"Farmer, Nancy",Yes,NA,I Ran Away to Evil,"Neptune, Mystic",Yes,NA,River Mumma,"Reid-Benta, Zalika",Yes,NA,Under The Whispering Door,"Klune, TJ",Yes,NA,A Study In Drowning,"Reid, Ava",Yes,NA,"The Galaxy, and the Ground Within","Chambers, Becky",Yes,NA,A Letter To The Luminous Deep,"Cathrall, Sylvie",Yes,NA,The Chalice Of The Gods,"Riordan, Rick",Yes,NA,Boy's Life,"McCammon, Robert",Yes,NA,Magically Delicious,"Kimberling, Nicole",Yes,NA,Ocean's Echo,"Maxwell, Everina",Yes,NA,That Time I Got Drunk And Saved A Demon,"Lemming, Kimberly",Yes,NA,The Girl and The Moon,"Lawrence, Mark",Yes,NA,The Girl Who Drank The Moon,"Barnhill, Kelly",Yes,NA,Ghost Of A Potion,"Blake, Heather",Yes,NA,Strange Brew,"Elrod, P.N.",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Fisherman,"Langan, John",Yes,NA,Heaven Official's Blessing Vol. 8,Mò Xiāng Tóng Xiù,Yes,NA,The Magic Fish,"Nguyen, Trung Le",Yes,NA,8. Prologues and Epilogues,19. Survival
763,2,NA,Of Blood and Fire,Ryan Cahill,Yes,NA,14. The Invisible Life of Addie LaRue,V. E. Schwab,NA,NA,Paladin's Hope,T. Kingfisher,NA,NA,Immortal Longings,Chloe Wong,NA,NA,Eragon,Christopher Paolini,NA,NA,Six Crimson Cranes,Elizabeth Lim,NA,NA,The Lark and the Wren,Mercedes Lackey,Yes,NA,The Atlas Six,Olivie Blake,Yes,NA,Radiance,Grace Draven,NA,NA,Song of Achilles,Madeline Miller,Yes,NA,The Library of the Unwritten,A. J. Hackwith,NA,NA,The Vanished Birds,Simon Jimenez,Yes,NA,Dreadful,Caitlin Rozakis,Yes,NA,Half a Soul,Olivia Atwater,Yes,NA,Foreigner,C. J. Cherryh,Yes,NA,The Witness for the Dead,Katherine Addison,NA,NA,Winter's Orbit,Everina Maxwell,Yes,NA,A Quantum Love Story,Mike Chen,NA,NA,Lost in Time,A. G. Riddle,Yes,NA,Redshirts,John Scalzi,Yes,NA,Someone You Can Build a Nest in,John Wiswell,NA,NA,NA,NA,NA,NA,Untethered Sky,Fonda Lee,Artificial Condition,Martha Wells,When Among Crows,Veronica Roth,Thornhedge,T. Kingfisher,Rogue Protocol,Martha Wells,The Wizard Hunters,Martha Wells,Yes,NA,Kushiel's Chosen,Jacqueline Carey,Yes,NA,The Night Circus,Erin Morgenstern,NA,NA,17. Space Opera,2. Alliterative Title
764,1,Yes,Gideon the Ninth,Tamsyn Muir,NA,NA,Spinning Silver,Naomi Novik,NA,NA,The Mountain in the Sea,Ray Nayler,NA,NA,Foundryside,Robert Jackson Bennett,NA,NA,The Lathe of Heaven,Ursula K Le Guin,NA,NA,Miss Percy's Pocket Guide to the Care and Feeding of British Dragons,Quenby Olson,NA,NA,Space Opera,Catherynne M Valente,NA,NA,Ninth Huse,Leigh Bardugo,NA,NA,Barnaby the Wanderer,Raymond St Elmo,NA,NA,Fourth Wing,Rebecca Yarros,NA,NA,Babel,RF Kuang,NA,NA,Jade City,Fonda Lee,NA,NA,The Book that Broke the World,Mark Lawrence,NA,NA,Baker Thief,Claudie Arseneault,NA,NA,Song in the Silence,Elizabeth Kerner,NA,NA,The Goblin Emperor,Katherine Addison,NA,NA,A Memory Called Empire,Arkady Martine,NA,NA,She Who Became the Sun,Shelley Parker Chan,NA,NA,Oryx and Crake,Margaret Atwood,NA,NA,The Archive Undying,Emma Mieko Candon,NA,NA,The Scorpio Races,Maggie Stiefvater,NA,NA,Defying Doomsday,Tsana Dolichva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,House of Leaves,Mark Z Danielewski,NA,NA,Saint Death's Daughter,CSE Cooney,NA,NA,The Starless Sea,Erin Morgenstern,NA,NA,20. Judge A Book By Its Cover,5. Dreams
765,3,NA,The Dragon’s Path,Daniel Abraham,Yes,NA,"The Utterly Uninteresting and Unadventurous Tales of Fred, the Vampire Accountant",Drew Hayes,Yes,NA,Sphere,Michael Crichton,Yes,NA,The Crown Tower,Michael J. Sullivan,Yes,NA,Paladin's Grace,T. Kingfisher,Yes,NA,A Dragon of a Different Color,Rachel Aaron,Yes,NA,Dragonsong,Anne McCaffery,NA,NA,The Exorcist,William Peter Blatty,Yes,NA,A Ghostly Request,Krista D. Ball,NA,NA,White Hot,Ilona Andrews,NA,NA,A Discovery of Witches,Deborah Harkness,Yes,NA,Spinning Silver,Naomi Novik,Yes,NA,The Phoenix Keeper,S.A. MacLean,Yes,NA,Blood Price,Tanya Huff,Yes,NA,King's Dragon,Kate Elliott,Yes,NA,Unnatural Magic,C.M. Waggoner,Yes,NA,Shards of Honour,Lois McMaster Bujold,Yes,NA,To Shape a Dragon's Breath,Moniquill Blackgoose,Yes,NA,The Final Girl Support Group,Grady Hendrix,Yes,NA,The Spellshop,Sarah Beth Durst,Yes,NA,The Ex Hex,Erin Sterling,Yes,NA,Night Shift,Stephen King,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My Heart Is A Chainsaw,Stephen Graham Jones,Yes,NA,The Shadow Rising,Robert Jordan,Yes,NA,The Very Secret Society of Irregular Witches,Sangu Mandanna,NA,NA,6. Entitled Animals,7. Bards
766,3,Yes,One Poison Pie,"Cahoon, Lynn",Yes,NA,Sprinkles and Sea Serpents,"Garrett, Danielle",Yes,NA,Dungeon Meshi (Delicious in Dungeon) Vol. 7 & 8,"Kui, Ryoko",Yes,NA,The Patron Thief of Bread,"Eagar, Lindsay",Yes,NA,The Wicche Glass Tavern,"Kelly, Seana",Yes,NA,Dragonfruit,"Lucier, Makiia",Yes,NA,The Land of the Silver Apples,"Farmer, Nancy",Yes,NA,Billy and the Giant Adventure,"Oliver, Jamie",Yes,NA,The Fire-Moon,"Pelech, Isabel",Yes,NA,The Temperature Of Me and You,"Zepka, Brian",Yes,NA,Winnie Zeng Vanquishes A King,"Zhao, Katie",Yes,NA,The Lotus Empire,"Suri, Tasha",Yes,NA,The Spice Gate,"Srivatsa, Prashanth",Yes,NA,A Prayer for the Crown-Shy,"Chambers, Becky",Yes,NA,Bag of Bones,"King, Stephen",Yes,NA,Cherries Worth Getting,"Kimberling, Nicole",Yes,NA,Extracurricular Activities,"Lee, Yoon Ha",Yes,NA,The Book Eaters,"Dean, Sunyi",Yes,NA,The Girl and the Mountain,"Lawrence, Mark",Yes,NA,Pride's Spell,"Wallace, Matt",Yes,NA,One Potion In The Grave,"Blake, Heather",Yes,NA,Many Bloody Returns,"Harris, Charlaine",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otherside Picnic Light Novel, Vol. 1","Miyazawa, Iori",Yes,NA,Heaven Official's Blessing Vol. 7,Mò Xiāng Tóng Xiù,Yes,NA,Palimpsest,"Valente, Catherynne M.",Yes,NA,8. Prologues and Epilogues,25. Book Club or Readalong Book
767,0,NA,The eye of the world,Robert jordan,Yes,NA,The lies of locke lamora,Scott lynch,Yes,NA,The cavern,Alister hodge,Yes,NA,The mask of mirrors,M.a. carrick,NA,NA,Dune,Frank herbert,NA,NA,I'm afraid you've got dragons,Peter s. Beagle,Yes,NA,Shadows linger,Glen cook,NA,NA,The trials of empire,Richard swan,Yes,NA,Of blood and fire,Ryan cahill,Yes,NA,That time i got drunk and saved a demon,Kimberly lemming,NA,NA,Babel,R.f. kuang,NA,NA,Malice,John gwynne,Yes,NA,Someone you can build a nest in,John wiswell,NA,NA,Ascendant,Michael r. Miller,Yes,NA,Royal assassin,Robin hobb,Yes,NA,The lord of the rings: The two towers,J.r.r. tolkien,NA,NA,Harrow the ninth,Tamsyn muir,Yes,NA,The rage of dragons,Evan winter,Yes,NA,The deep,Nick cutter,NA,NA,A duet with the siren duke,Elise kova,Yes,NA,Snow,Ronald malfi,Yes,NA,Never whistle at night,"Shane hawk, theodore c. Van alst jr.",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gogmagog,"Jeff noon, steve beard",Yes,NA,The well of ascention,Brandon sanderson,Yes,NA,Howl's moving castle,Diana wynne jones,NA,NA,14. Character with a Disability,10. Romantasy
768,1,Yes,An Exile of Water & Gold,Joshua Walker,NA,NA,Your Blood And Bones,J Patricia Anderson,NA,NA,Dungeon Crawler Carl,Matt Dinniman,Yes,NA,Jade City,Fonda Lee,NA,NA,Fahrenheit 451,Ray Bradbury,Yes,NA,Return of the Griffin,JCM Berne,Yes,NA,Performances of a Death Metal Bard,Rob Leigh,Yes,NA,Upscaled,Joseph John Lee,Yes,NA,Herald (Age of the God Eater #1),Rob J Hayes,NA,NA,Shroud,Adrian Tchaikovsky,NA,Horror 2023,Babel,RF Kuang,Yes,NA,Sul: From Gold to Iron and Rust,Jacqui Davis & Katy Grierson,Yes,NA,A Dirge for Cascius: Part 1,Calum Lott,Yes,NA,Soul Cage,L.R. Schulz,Yes,NA,Men at Arms,Terry Pratchett,NA,NA,Bookshops & Bonedust,Travis Baldree,Yes,NA,The Knight,Will Wight,NA,NA,Interstellar Megachef,Lavanya Lakshminarayan,NA,NA,Project Hail Mary,Andy Weir,Yes,NA,Hoard,Django Wexler,Yes,NA,The Bartender Between Worlds,Herman Steuernagel,NA,NA,"Sing No Suns, Sing The Stars",Michael Michel,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Conqueror's Blood,Zamil Akhtar,Yes,NA,Wind & Truth,Brandon Sanderson,Yes,NA,Murder at Spindle Manor,Morgan Stang,NA,NA,19. Survival,10. Romantasy
769,1,NA,Empire of the Vampire,Jay Kristoff,NA,NA,The Lies of Locke Lamora,Scott Lynch,Yes,NA,The Luminous Dead,Caitlin Starling,Yes,NA,Foundryside,Robert Jackson Bennet,Yes,NA,The Stand,Stephen King,NA,NA,"Black Leopard, Red Wolf",Marlon James,NA,NA,Station Eleven,Emily St. John Mandel,NA,NA,Memories of Ice,Stephen Erickson,NA,NA,Return to Edan,Phillip Chase,NA,NA,A Court of Thorns and Roses,Sarah J Maas,NA,NA,Ninth House,Leigh Bardugo,Yes,NA,Ship of Destiny,Robin Hobb,Yes,NA,Mercy of the Gods,James SA Corey,NA,NA,Flowers for Algernon,Daniel Keyes,Yes,NA,Timeline,Michael Chrichton,NA,NA,The Daughters War,Christopher Buehlman,NA,NA,Death's End,Cixin Liu,NA,NA,Parable of the Talents,Octavia Butler,NA,NA,The Butcher's Masquerade,Matt Dinniman,Yes,NA,Prophet Song,Paul Lynch,Yes,NA,The Library at Mount Char,Scott HAwkins,Yes,NA,Tales From Earthsea,Ursula K. Le Guin,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At the Mountains of Madness,HP Lovecraft,NA,NA,Wind and Truth,Brandon Sanderson,Yes,NA,The Lions of Al-Rassan,Guy Gavriel Kay,NA,NA,4. Criminals,5. Dreams
770,6,Yes,A Dance of Cloaks,David Dalglish,Yes,NA,Agents of Light and Shadow,Simon R. Green,NA,NA,Upping the Ante,RinoZ,NA,NA,The Price of Faith,Rob J. Hayes,NA,NA,Chosen,Benedict Jacka,NA,NA,Beware of Chicken 3,Casual Farmer,NA,NA,The Delving Bard,Lars Machmuller,Yes,NA,Ghost of a Chance,Chris Tullbane,NA,NA,Summoner 14,Eric Vall,NA,NA,The Path of Ascension 4,C. Mantis,NA,NA,Study in Slaughter,Christopher G. Nuttall,NA,NA,Empire of Dirt,Philip C. Quaintrell,Yes,NA,Scavengers,Brian J. Nordon,NA,NA,Words of Radiance,Brandon Sanderson,Yes,NA,Green Rider,Kristin Britain,NA,NA,Hollow,Travis Bagwell,NA,NA,Caliban's War,James S.A. Corey,NA,NA,Raiser of Gales,Hideyuki Kikuchi,NA,NA,First Necromancer 2,ColdFang89,Yes,NA,Redemption's Cost,Levi Werner,Yes,NA,The Dead Zone,Stephen King,Yes,NA,Demons!,"Gardner Dozois, Jack Dann",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blackmist,Actus,Yes,NA,The Emerald Storm,Michael J. Sullivan,NA,NA,Sins of Empire,Brian McClellan,NA,NA,3. Under the Surface,10. Romantasy
771,0,NA,Fearless,Francine Pascal,NA,NA,A Broken Blade,Melissa Blair,NA,NA,Fire Heart,Emma Hamm,NA,NA,The Exiled Queen,Cinda Williams Chima,NA,NA,King of Battle and Blood,Scarlett St. Clair,NA,NA,Cursed Bunny,Bora Chung,NA,NA,NA,NA,NA,NA,Of Shadow and Moonlight,Luna Laurier,NA,NA,Crescent City: House of Earth and Blood,Sarah J. Maas,NA,NA,Memoirs of a Garroter,Steffanie Holmes,NA,NA,NA,NA,NA,NA,The Way of Kings,Brandon Sanderson,NA,NA,Ruined Wings,Annie Anderson,NA,NA,The Lost Apothecary,Sarah Penner,NA,NA,Assassin's Apprentice,Robin Hobb,NA,NA,Bookshops & Bonedust,Travis Baldree,NA,NA,NA,NA,NA,NA,The Right Swipe,Alisha Rai,NA,NA,Harry Potter & The Deathly Hallows,J.K. Rowling,NA,NA,Rewind,Catherine Ryan Howard,NA,NA,The Holiday Trap,Roan Parrish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fablehaven,Brandon Mull,NA,NA,Fate of the Fallen,Kel Kade,NA,NA,Fourth Wing,Rebecca Yarros,NA,NA,9. Self-Published or Indie Publisher,20. Judge A Book By Its Cover
772,3,Yes,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,Yes,NA,Marion Lane and the Midnight Murder,T. A. Willberg,Yes,NA,A Letter to the Luminous Deep,Sylvie Cathrall,Yes,NA,The Sky on Fire,Jen Lyons,Yes,NA,The Fireborne Blade,Charlotte Bond,Yes,NA,I’m Afraid you’ve got Dragons,Peter S. Beagle,Yes,NA,Raven’s Shadow,Patricia Briggs,Yes,NA,Sweet Nightmare,Tracy Wolff,Yes,NA,In the Society of Women,Krista D. Ball,Yes,NA,Can’t Spell Treason Without Tea,Rebecca Thorne,Yes,NA,An Education in Malice,S.T Gibson,Yes,NA,Sunbringer,Hannah Kaner,Yes,NA,To Gaze Upon Wicked Gods,Molly X Chang,Yes,NA,Dead Collections,Issac Fellman,Yes,NA,By the Sword,Mercedes Lackey,Yes,NA,How to Become the Dark Lord and Die Trying,Django Wexler,Yes,NA,Nophek Gloss,Essa Hansen,Yes,NA,Of Jade and Dragons,Amber Chen,Yes,NA,The Morningside,Tea Obreht,Yes,NA,The Seventh Veil of Salome,Silvia Moreno-Garcia,Yes,NA,Garden Spells,Sarah Addison Allen,Yes,NA,Toad Words and Other Stories,T Kingfisher,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shards of Earth,Adrian Tchaikovsky,Yes,NA,Daggerspell,Katharine Kerr,Yes,NA,The Wings Upon Her Back,Samantha Mills,Yes,NA,"16. Orcs, Trolls, and Goblins — Oh My!",22. Five SFF Short Stories
773,6,Yes,NPCs,Drew Hayes,Yes,NA,Blood if Thicker Than Lots of Stuff,Chris Tullbane,NA,NA,Percepliquis,Michael J. Sullivan,Yes,NA,Jhegaala,Steven Brust,NA,NA,Taken,Benedict Jacka,NA,NA,Nightingale's Lament,Simon R. Green,NA,NA,The Dragon's Path,David Abraham,NA,NA,The Autumn Republic,Brian McClellan,NA,NA,Summoner 15,Eric Vall,NA,NA,Bone Crossed,Patricia Briggs,NA,NA,Work Experience,Christopher G. Nuttall,NA,NA,The Bone Ship's Wake,R.J. Barker,NA,NA,Mark of the Fool 6,J.M. Clarke,NA,NA,The Colour of Venegeance,Rob J. Hayes,NA,NA,Rose Madder,Stephen King,Yes,NA,The War of Flesh and Steel,Tracy Gregory,NA,NA,Abaddon's Gate,James S.A. Corey,NA,NA,Demon Deathchase,Hideyuki Kukuchi,NA,NA,Defiance of the Fall 9,JF Brink,Yes,NA,Quest and Conquer,Kaz Valveto,Yes,NA,Valor,Michael Sisa,NA,NA,Threshold,Will Wight,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greenblood,Actus,Yes,NA,Relic of the Gods,Philip C. Quaintrell,NA,NA,The Way of Kings,Brandon Sanderson,NA,NA,9. Self-Published or Indie Publisher,10. Romantasy
774,2,NA,Equal Rites,Sir Terry Pratchett,NA,NA,NA,NA,NA,NA,Tress of the Emerald Sea,Brandon Sanderson,NA,NA,Vicious,V.E.Schwab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kindred,Octavia E. Butler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wind and Truth,Brandon Sanderson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Three Body Problem,Cxin Liu,NA,NA,Ringworld,Larry Niven,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All Systems Red,Martha Wells,NA,NA,NA,NA
775,0,NA,The Three-Body Problem,Cixin Liu,NA,NA,Butcher & Blackbird,Brynne Weaver,NA,NA,Sphere,Michael Crichton,NA,NA,The Blacktongue Thief,Christopher Buehlman,NA,NA,Little Heaven,Nick Cutter,NA,NA,Kraken,China Miéville,NA,NA,Play of Shadows,Sebastien de Castell,NA,NA,A Memory Called Empire,Arkady Martine,NA,NA,Dungeon Crawler Carl,Matt Dinniman,NA,NA,A Court of Thorns and Roses,Sarah J Maas,NA,NA,A Deadly Education,Naomi Novik,NA,NA,Stjärnfall,Lars Wilderäng,NA,NA,The Familiar,Leigh Bardugo,NA,NA,Ship of Fools,Richard Paul Russo,NA,NA,A Crown of Swords,Robert Jordan,NA,NA,Nine Goblins,T Kingfisher,NA,NA,The Mercy of Gods,James S A Corey,NA,NA,Dawn,Octavia E Butler,NA,NA,Generation Z,Peter Meredith,NA,NA,Gogmagog,Jeff Noon & Steve Beard,NA,NA,Small Town Horror,Ronald Malfi,NA,NA,Chill Tidings,Tanya Kirk,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agents of Dreamland,Caitlin R Kiernan,NA,NA,The Tainted Cup,Robert Jackson Bennett,NA,NA,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,NA,NA,20. Judge A Book By Its Cover,25. Book Club or Readalong Book
776,0,NA,The Black Prism,Brent Weeks,Yes,NA,The Lies of Locke Lamora,Scott Lynch,Yes,NA,The Obelisk Gate,N.K. Jemisin,Yes,NA,Mistborn: The Final Empire,Brandon Sanderson,Yes,NA,Dreams of the Dying,Nicolas Lietzau,NA,NA,Dragon Mage,M.L. Spencer,Yes,NA,The Last Wish,Andrzej Sapkowski,Yes,NA,Hyperion,Dan Simmons,Yes,NA,"By Blood, By Salt",J.L. Odom,Yes,NA,The Invisible Life of Addie LaRue,Victoria Schwab,Yes,NA,Babel,R.F. Kuang,Yes,NA,Jonathan Strange and Mr. Norrell,Susanna Clarke,Yes,NA,Blood at the Root,LaDarrion Williams,Yes,NA,Best Served Cold,Joe Abercrombie,Yes,NA,Neverwhere,Neil Gaiman,NA,NA,The Goblin Emperor,Katherine Addison,Yes,NA,Translation State,Ann Leckie,Yes,NA,The Vanished Birds,Simon Jimenez,Yes,NA,Project Hail Mary,Andy Weir,Yes,NA,Blood Scion,Deborah Falaye,Yes,NA,Carrie,Stephen King,Yes,NA,Dark Fairy Tales: A Disturbing Collection of the Original Stories,Jacob Grimm,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Godkiller,Hannah Kaner,Yes,NA,Anathem,Neal Stephenson,Yes,NA,The Tainted Cup,Robert Jackson Bennett,NA,NA,15. Published in the 1990s,10. Romantasy
777,1,NA,Dungeon Crawler Carl,Matt Dinniman,Yes,NA,Adventures of Amina Al-Sarafi,Shannon Chakroborty,Yes,NA,"Under the Earth, Over the Sky",Emily McCosh,Yes,NA,A Pirate's Life for Tea,Rebecca Thorne,Yes,NA,Divine Rivals,Rebecca Ross,Yes,NA,The Humane Society for Creatures and Cryptids,Stephanie A. Gillis,Yes,NA,The Stray Spirit,R.K. Ashwick,Yes,NA,Bride,Ali Hazelwood,Yes,NA,The Tenfold Tenants,E.V. Belknap,Yes,NA,Mortal Follies,Alexis Hall,Yes,NA,Hell Bent,Leigh Bardugo,Yes,NA,He Who Drowned the World,Shelley Parker-Chan,Yes,NA,The Ministry of Time,Kaliane Bradley,Yes,NA,Sunbringer,Hannah Kaner,Yes,NA,Guilty Pleasures,Laurell K. Hamilton,Yes,NA,Nine Goblins,T. Kingfisher,Yes,NA,Ocean's Echo,Everina Maxwell,Yes,NA,Iron Widow,Xiran Jay Zhao,Yes,NA,The Martian,Andy Weir,Yes,NA,VenCo,Cherie Dimaline,Yes,NA,Among Others,Jo Walton,Yes,NA,New Suns 2,Nisi Shawl,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Running Close to the Wind,Alexandra Rowland,Yes,NA,The Lost Story,Meg Shaffer,Yes,NA,Breeze Spells and Bridegrooms,Sarah Wallace & S.O. Callahan,Yes,Queernorm Setting 2023,9. Self-Published or Indie Publisher,25. Book Club or Readalong Book
778,0,NA,Redwall,Brian Jacques,Yes,NA,The Hitchhiker's Guide to the Galaxy,Douglas Adams,NA,NA,The Tombs of Atuan,Ursula K. Le Guin,Yes,NA,Theft of Swords,Michael J. Sullivan,Yes,NA,Royal Assassin,Robin Hobb,NA,NA,The Kaiju Preservation Society,John Scalzi,Yes,NA,Bloody Rose,Nicholas Eames,Yes,NA,Sabriel,Garth Nix,Yes,NA,NA,NA,NA,NA,Throne of Glass,Sarah J. Maas,NA,NA,NA,NA,NA,NA,The Shadow of the Gods,John Gwynne,NA,NA,Wind and Truth,Brandon Sanderson,NA,NA,All Systems Red,Martha Wells,Yes,NA,Small Gods,Terry Pratchett,NA,NA,The Daughters War,Christopher Buehlman,NA,NA,Golden Son,Pierce Brown,NA,NA,The Fifth Season,N.K. Jemisin,NA,NA,Project Hail Mary,Andy Weir,Yes,NA,Mordew,Alex Pheby,Yes,NA,The Bear and the Nightingale,Katherine Arden,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ring Shout,P. Djèlí Clark,Yes,NA,The Children of Gods and Fighting Men,Shauna Lawless,NA,NA,The Poppy War,R.F. Kuang,NA,NA,"16. Orcs, Trolls, and Goblins — Oh My!",3. Under the Surface
